"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.241 ms (0%)","0.228 ms (0%)","3.25 ms (0%)","3.2 ms (0%)","66"
"java.lang.invoke.InvokerBytecodeGenerator.emitImplicitConversion (java.lang.invoke.LambdaForm.BasicType, Class, Object)","0.242 ms (0%)","0.227 ms (0%)","2.10 ms (0%)","2.0 ms (0%)","346"
"sun.net.www.ParseUtil.firstEncodeIndex (String)","0.735 ms (0%)","0.226 ms (0%)","2.60 ms (0%)","0.758 ms (0%)","36"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","0.239 ms (0%)","0.224 ms (0%)","1.9 ms (0%)","0.834 ms (0%)","108"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.245 ms (0%)","0.223 ms (0%)","51.2 ms (0%)","30.1 ms (0%)","36"
"jdk.internal.loader.URLClassPath$JarLoader$2.getBytes ()","0.223 ms (0%)","0.220 ms (0%)","4.72 ms (0%)","4.36 ms (0%)","36"
"java.io.PrintStream.writeln (String)","0.234 ms (0%)","0.220 ms (0%)","4.35 ms (0%)","4.20 ms (0%)","43"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.224 ms (0%)","0.219 ms (0%)","11.1 ms (0%)","1.69 ms (0%)","36"
"java.lang.AbstractStringBuilder.append (int)","0.221 ms (0%)","0.219 ms (0%)","0.380 ms (0%)","0.375 ms (0%)","109"
"java.util.concurrent.ConcurrentHashMap.casTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node, java.util.concurrent.ConcurrentHashMap.Node)","0.218 ms (0%)","0.217 ms (0%)","0.218 ms (0%)","0.217 ms (0%)","277"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.213 ms (0%)","0.211 ms (0%)","0.319 ms (0%)","0.317 ms (0%)","304"
"java.lang.invoke.MemberName.getInvocationType ()","0.203 ms (0%)","0.210 ms (0%)","1.83 ms (0%)","1.81 ms (0%)","143"
"java.lang.String.lastIndexOf (int)","0.314 ms (0%)","0.209 ms (0%)","1.21 ms (0%)","1.9 ms (0%)","302"
"sun.invoke.util.Wrapper.hashPrim (Class)","0.213 ms (0%)","0.209 ms (0%)","0.494 ms (0%)","0.475 ms (0%)","268"
"java.lang.invoke.MethodType.equals (Object)","0.211 ms (0%)","0.207 ms (0%)","0.597 ms (0%)","0.563 ms (0%)","364"
"java.lang.String.regionMatches (boolean, int, String, int, int)","0.229 ms (0%)","0.206 ms (0%)","1.48 ms (0%)","1.20 ms (0%)","108"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.202 ms (0%)","0.203 ms (0%)","1.44 ms (0%)","1.40 ms (0%)","36"
"java.lang.invoke.LambdaForm$BasicType.basicType (Class)","0.210 ms (0%)","0.203 ms (0%)","0.820 ms (0%)","0.791 ms (0%)","682"
"java.io.BufferedWriter.write (String, int, int)","0.203 ms (0%)","0.201 ms (0%)","0.462 ms (0%)","0.452 ms (0%)","87"
"havlak.SimpleLoop.setIsRoot ()","0.210 ms (0%)","0.201 ms (0%)","0.210 ms (0%)","0.201 ms (0%)","2,040"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.197 ms (0%)","0.200 ms (0%)","0.636 ms (0%)","0.600 ms (0%)","56"
"Run.measure (Benchmark)","0.199 ms (0%)","0.200 ms (0%)","133,789 ms (8.9%)","129,281 ms (8.9%)","40"
"java.lang.invoke.MemberName.isInvocable ()","0.203 ms (0%)","0.199 ms (0%)","0.572 ms (0%)","0.554 ms (0%)","828"
