"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.168 ms (0%)","0.158 ms (0%)","33.3 ms (0%)","32.0 ms (0%)","38"
"java.lang.StringConcatHelper.prepend (long, byte[], String)","0.162 ms (0%)","0.158 ms (0%)","0.424 ms (0%)","0.420 ms (0%)","287"
"java.util.Objects.equals (Object, Object)","0.172 ms (0%)","0.158 ms (0%)","0.267 ms (0%)","0.245 ms (0%)","891"
"java.util.concurrent.ConcurrentHashMap.replaceNode (Object, Object, Object)","0.161 ms (0%)","0.158 ms (0%)","0.381 ms (0%)","0.369 ms (0%)","64"
"java.lang.ClassLoader.checkCerts (String, java.security.CodeSource)","0.159 ms (0%)","0.156 ms (0%)","0.718 ms (0%)","0.707 ms (0%)","38"
"java.lang.CharacterDataLatin1.toUpperCase (int)","0.150 ms (0%)","0.155 ms (0%)","0.221 ms (0%)","0.216 ms (0%)","232"
"sun.net.www.protocol.jar.Handler.parseContextSpec (java.net.URL, String)","0.158 ms (0%)","0.154 ms (0%)","1.45 ms (0%)","1.41 ms (0%)","38"
"Run.lambda$getSuiteFromName$2 ()","0.161 ms (0%)","0.153 ms (0%)","0.213 ms (0%)","0.197 ms (0%)","1"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.161 ms (0%)","0.152 ms (0%)","0.161 ms (0%)","0.152 ms (0%)","874"
"som.Vector.size ()","0.157 ms (0%)","0.152 ms (0%)","0.157 ms (0%)","0.152 ms (0%)","400"
"java.util.concurrent.ConcurrentHashMap.spread (int)","0.152 ms (0%)","0.150 ms (0%)","0.152 ms (0%)","0.150 ms (0%)","1,122"
"java.util.zip.ZipFile$ZipFileInputStream.read (byte[], int, int)","0.159 ms (0%)","0.150 ms (0%)","1.45 ms (0%)","1.41 ms (0%)","39"
"deltablue.Strength.sameAs (deltablue.Strength)","0.151 ms (0%)","0.149 ms (0%)","0.151 ms (0%)","0.149 ms (0%)","240"
"jdk.internal.loader.URLClassPath$JarLoader.getResource (String, boolean)","0.115 ms (0%)","0.148 ms (0%)","10.0 ms (0%)","9.76 ms (0%)","38"
"jdk.internal.util.ArraysSupport.newLength (int, int, int)","0.150 ms (0%)","0.148 ms (0%)","0.208 ms (0%)","0.205 ms (0%)","343"
"java.util.zip.ZipFile$ZipFileInputStream.initDataOffset ()","0.146 ms (0%)","0.145 ms (0%)","0.777 ms (0%)","0.764 ms (0%)","39"
"java.util.concurrent.ConcurrentHashMap.putIfAbsent (Object, Object)","0.147 ms (0%)","0.138 ms (0%)","1.64 ms (0%)","1.60 ms (0%)","242"
"java.lang.StringCoding.implEncodeAsciiArray (char[], int, byte[], int, int)","0.138 ms (0%)","0.137 ms (0%)","0.138 ms (0%)","0.137 ms (0%)","84"
"sun.nio.cs.StreamEncoder.write (char[], int, int)","0.168 ms (0%)","0.134 ms (0%)","2.90 ms (0%)","2.80 ms (0%)","84"
"java.lang.String.newStringUTF8NoRepl (byte[], int, int)","0.140 ms (0%)","0.133 ms (0%)","0.239 ms (0%)","0.231 ms (0%)","39"
"java.lang.AbstractStringBuilder.newCapacity (int)","0.137 ms (0%)","0.133 ms (0%)","0.366 ms (0%)","0.359 ms (0%)","330"
"java.util.zip.ZipFile.getEntry (String)","0.140 ms (0%)","0.132 ms (0%)","2.36 ms (0%)","2.28 ms (0%)","38"
"java.lang.String.getBytes (byte[], int, byte)","0.129 ms (0%)","0.130 ms (0%)","0.177 ms (0%)","0.176 ms (0%)","370"
